Time,Sensor HR,Time,Respiratory,Time,Distance,Body Val,,Real HR
10:15:33,86,10:15:34,15,10:15:33,71,10:15:33,1,
10:15:36,86,10:15:37,15,10:15:36,71,10:15:36,1,
10:15:39,86,10:15:40,16,10:15:39,71,10:15:39,1,
10:15:41,0,10:15:43,16,10:15:42,71,10:15:42,6,
10:15:45,82,10:15:46,17,10:15:45,71,10:15:45,1,
10:15:48,82,10:15:49,18,10:15:48,71,10:15:48,2,
10:15:51,82,10:15:52,18,10:15:51,71,10:15:51,2,
10:15:54,82,10:15:55,19,10:15:54,71,10:15:54,2,
10:15:57,82,10:15:58,20,10:15:57,71,10:15:57,3,
10:16:00,82,10:16:01,21,10:16:00,71,10:16:00,3,
10:16:03,82,10:16:04,22,10:16:03,71,10:16:03,1,
10:16:06,82,10:16:07,22,10:16:06,71,10:16:06,1,
10:16:09,82,10:16:10,22,10:16:09,71,10:16:09,2,
10:16:12,82,10:16:13,22,10:16:12,71,10:16:12,7,
10:16:15,,10:16:16,22,10:16:15,71,10:16:15,8,
10:16:18,82,10:16:19,22,10:16:18,71,10:16:18,4,
10:16:21,82,10:16:22,23,10:16:21,71,10:16:21,1,
10:16:23,0,10:16:25,23,10:16:24,71,10:16:24,1,
10:16:27,86,10:16:28,23,10:16:27,71,10:16:27,1,
10:16:30,89,10:16:31,23,10:16:30,71,10:16:30,1,
10:16:33,90,10:16:34,24,10:16:33,71,10:16:33,1,
10:16:36,90,10:16:37,0,10:16:36,71,10:16:36,1,
10:19:15,0,10:19:34,6,10:19:33,190,10:19:33,4,
10:19:36,66,10:19:37,9,10:19:36,190,10:19:36,1,
10:19:39,66,10:19:40,13,10:19:39,190,10:19:39,1,
10:19:42,66,10:19:43,15,10:19:42,190,10:19:42,1,
10:19:45,66,10:19:46,17,10:19:45,190,10:19:45,1,
10:19:48,66,10:19:49,19,10:19:48,190,10:19:48,1,
10:19:51,66,10:19:52,20,10:19:51,190,10:19:51,1,
10:19:54,66,10:19:55,21,10:19:54,190,10:19:54,1,
10:19:57,69,10:19:58,22,10:19:57,190,10:19:57,3,
10:20:00,72,10:20:01,22,10:20:00,190,10:20:00,1,
10:20:03,75,10:20:04,22,10:20:03,190,10:20:03,1,
10:20:06,73,10:20:07,23,10:20:06,190,10:20:06,1,
10:20:09,70,10:20:10,23,10:20:09,71,10:20:09,3,
10:20:12,67,10:20:13,23,10:20:12,71,10:20:12,2,
10:20:15,67,10:20:16,24,10:20:15,71,10:20:15,1,
10:20:18,67,10:20:19,24,10:20:18,71,10:20:18,1,
10:20:21,70,10:20:22,23,10:20:21,71,10:20:21,1,
10:20:24,73,10:20:25,23,10:20:24,71,10:20:24,1,
10:20:27,76,10:20:28,24,10:20:27,71,10:20:27,1,
10:20:30,79,10:20:31,0,10:20:30,71,10:20:30,1,
10:20:39,0,10:20:40,5,10:20:39,178,10:20:39,1,
10:20:42,91,10:20:43,8,10:20:42,178,10:20:42,1,
10:20:45,94,10:20:46,11,10:20:45,178,10:20:45,1,
10:20:48,97,10:20:49,13,10:20:48,178,10:20:48,1,
10:20:51,99,10:20:52,14,10:20:51,178,10:20:51,1,
10:20:54,95,10:20:55,15,10:20:54,71,10:20:54,1,
10:20:57,89,10:20:58,15,10:20:57,178,10:20:57,1,
10:21:00,0,10:21:01,16,10:21:00,178,10:21:00,1,
10:21:03,77,10:21:04,17,10:21:03,178,10:21:03,2,
10:21:06,74,10:21:07,18,10:21:06,178,10:21:06,1,
10:21:09,70,10:21:10,20,10:21:09,178,10:21:09,1,
10:21:12,67,10:21:13,21,10:21:12,178,10:21:12,1,
10:21:15,70,10:21:16,22,10:21:15,71,10:21:15,1,
10:21:18,73,10:21:19,23,10:21:18,71,10:21:18,1,
10:21:21,76,10:21:22,23,10:21:21,71,10:21:21,1,
10:21:24,79,10:21:25,24,10:21:24,71,10:21:24,1,
10:21:27,82,10:21:28,24,10:21:27,71,10:21:27,1,
10:21:30,85,10:21:31,0,10:21:30,71,10:21:30,1,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10:25:00,0,10:25:13,4,10:25:12,71,10:25:12,1,
10:25:15,76,10:25:16,4,10:25:15,71,10:25:15,1,
10:25:18,75,10:25:19,5,10:25:18,71,10:25:18,1,
10:25:21,78,10:25:22,5,10:25:21,71,10:25:21,1,
10:25:24,81,10:25:25,6,10:25:24,71,10:25:24,1,
10:25:27,82,10:25:28,0,10:25:27,71,10:25:27,1,
